namen,gerundet,cat_f,cat_d
Lampenberg,-882,Perte de,Verlust von
Laupen,11238,Economie de,Gewinn von
Abtwil,NA,NA,NA
Montpreveyres,735,Economie de,Gewinn von
Saint-Barthélemy (VD),27,Economie de,Gewinn von
Biberstein,-452,Perte de,Verlust von
Fétigny,-4635,Perte de,Verlust von
Rohrbach,1127,Economie de,Gewinn von
Koblenz,-332,Perte de,Verlust von
Corcelles-près-Concise,-51,Perte de,Verlust von
La Chaux-des-Breuleux,228,Economie de,Gewinn von
Orges,-144,Perte de,Verlust von
Schöfflisdorf,NA,NA,NA
Lavigny,52,Economie de,Gewinn von
Chavannes-le-Chêne,51,Economie de,Gewinn von
Büttenhardt,-2521,Perte de,Verlust von
Freienwil,-273,Perte de,Verlust von
Granges-Paccot,-2845,Perte de,Verlust von
Nuvilly,-4667,Perte de,Verlust von
Rütschelen,1733,Economie de,Gewinn von
Häfelfingen,-856,Perte de,Verlust von
Senarclens,13,Economie de,Gewinn von
Orpund,1377,Economie de,Gewinn von
Boppelsen,NA,NA,NA
Givrins,14,Economie de,Gewinn von
Prévonloup,36,Economie de,Gewinn von
Castaneda,-386,Perte de,Verlust von
Gravesano,1845,Economie de,Gewinn von
Bözen,NA,NA,NA
Wasterkingen,NA,NA,NA
Wiler bei Utzenstorf,1693,Economie de,Gewinn von
Cademario,153,Economie de,Gewinn von
Thônex,485,Economie de,Gewinn von
Erlach,1592,Economie de,Gewinn von
Anwil,-938,Perte de,Verlust von
Mönthal,-3184,Perte de,Verlust von
Winznau,537,Economie de,Gewinn von
Chénens,-4414,Perte de,Verlust von
Rietheim,NA,NA,NA
Bettenhausen,1752,Economie de,Gewinn von
Gunzgen,NA,NA,NA
Uttigen,1258,Economie de,Gewinn von
Astano,129,Economie de,Gewinn von
Champagne,-96,Perte de,Verlust von
Oeschenbach,169,Economie de,Gewinn von
Bournens,232,Economie de,Gewinn von
Choulex,495,Economie de,Gewinn von
Sullens,216,Economie de,Gewinn von
Aclens,2672,Economie de,Gewinn von
Seftigen,12516,Economie de,Gewinn von
Chevilly,38,Economie de,Gewinn von
Dottikon,-3966,Perte de,Verlust von
Saint-Léonard,-874,Perte de,Verlust von
Remetschwil,NA,NA,NA
Echandens,16,Economie de,Gewinn von
Penthalaz,6,Economie de,Gewinn von
Mont-sur-Rolle,3,Economie de,Gewinn von
Bettwiesen,258,Economie de,Gewinn von
Matten bei Interlaken,-1948,Perte de,Verlust von
Penthaz,46,Economie de,Gewinn von
Morges,3257,Economie de,Gewinn von
Laconnex,379,Economie de,Gewinn von
Brione sopra Minusio,1573,Economie de,Gewinn von
Schwarzhäusern,161,Economie de,Gewinn von
Aeschi (SO),16,Economie de,Gewinn von
Wislikofen,NA,NA,NA
Leutwil,-2792,Perte de,Verlust von
Bettens,239,Economie de,Gewinn von
Belprahon,154,Economie de,Gewinn von
Titterten,-87,Perte de,Verlust von
Saubraz,495,Economie de,Gewinn von
Moosleerau,-2672,Perte de,Verlust von
Allmendingen,1216,Economie de,Gewinn von
Buch (SH),-2395,Perte de,Verlust von
Bellmund,428,Economie de,Gewinn von
Evilard,1482,Economie de,Gewinn von
Trey,-154,Perte de,Verlust von
Mattstetten,-4555,Perte de,Verlust von
Etagnières,523,Economie de,Gewinn von
Seegräben,NA,NA,NA
Wettswil am Albis,NA,NA,NA
Lussery-Villars,414,Economie de,Gewinn von
Cortaillod,545,Economie de,Gewinn von
Bissone,87,Economie de,Gewinn von
Nebikon,1549,Economie de,Gewinn von
Dintikon,NA,NA,NA
Biglen,-3815,Perte de,Verlust von
Lonay,7,Economie de,Gewinn von
Schönenwerd,5397,Economie de,Gewinn von
Farnern,1338,Economie de,Gewinn von
Humlikon,NA,NA,NA
Morrens (VD),577,Economie de,Gewinn von
Nenzlingen,1126,Economie de,Gewinn von
Zullwil,3914,Economie de,Gewinn von
Chessel,1359,Economie de,Gewinn von
Obergösgen,5388,Economie de,Gewinn von
Büetigen,NA,NA,NA
Tentlingen,-426,Perte de,Verlust von
Niederglatt,NA,NA,NA
Oppens,26,Economie de,Gewinn von
Staufen,-5494,Perte de,Verlust von
Berlingen,-3448,Perte de,Verlust von
Sutz-Lattrigen,1417,Economie de,Gewinn von
Teufenthal (AG),-152,Perte de,Verlust von
Finsterhennen,156,Economie de,Gewinn von
Rebévelier,989,Economie de,Gewinn von
Seltisberg,-1515,Perte de,Verlust von
Alberswil,1297,Economie de,Gewinn von
Hirschthal,-4243,Perte de,Verlust von
Faoug,-578,Perte de,Verlust von
Montagny-près-Yverdon,-24,Perte de,Verlust von
Hendschiken,-2932,Perte de,Verlust von
Wachseldorn,12359,Economie de,Gewinn von
Vallon,-4844,Perte de,Verlust von
Stettlen,11582,Economie de,Gewinn von
Chevroux,-637,Perte de,Verlust von
Mägenwil,-365,Perte de,Verlust von
Lovatens,57,Economie de,Gewinn von
Arboldswil,-9,Perte de,Verlust von
Zuzwil (BE),-5419,Perte de,Verlust von
